store_name,store_lat,store_lng,pincode,area,product_name,mrp,selling_price,discount_pct,in_stock,delivery_eta,scanned_at,error
GGN-Sector 95,28.410694,76.90725,122505,Sector 92,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,,2026-05-10T18:00:47.125895,
GGN-Sector 86,28.394882,76.933179,122050,Sector 87,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,6 min,2026-05-10T18:01:12.504297,
GGN-Sector 70 A,28.38621,77.02198,122015,Sector 70A,,,,,,,2026-05-10T18:01:47.841529,No suggestions for pin 122015
GGN-Sector 69 New,28.39477383,77.03515906,122101,Sector 48,,,,,,,2026-05-10T18:02:32.206569,No suggestions for pin 122101
GGN-Sector66,28.40211,77.059,122008,Marbella,,,,,,,2026-05-10T18:03:15.186362,No suggestions for pin 122008
FBD-Sainik Colony,28.396046,77.267029,121001,Badkhal,,,,,,,2026-05-10T18:03:57.773025,No suggestions for pin 121001
GGN-SECTOR 71,28.41196,77.02917,122004,Sector 72,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,10 min,2026-05-10T18:04:40.688745,
GGN-SECTOR 49,28.410107,77.051341,122018,Sector 49,,,,,,,2026-05-10T18:05:04.137074,No suggestions for pin 122018
GGN-Sector 10A,28.44296713,77.01065435,122001,Shivaji Nagar,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,13 min,2026-05-10T18:05:47.905794,
GGN-SECTOR 51,28.42600423,77.06762183,101301,Sector 51,,,,,,,2026-05-10T18:06:14.431836,No suggestions for pin 101301
GGN-Ardee City,28.429491,77.088255,122011,Sector 57,,,,,,,2026-05-10T18:06:58.231864,No suggestions for pin 122011
GGN-SECTOR 39 NEW,28.444382,77.05648,122012,Sector 39,,,,,,,2026-05-10T18:07:41.844453,No suggestions for pin 122012
GGN-Sector 52,28.435337,77.078114,122003,Sector 52,,,,,,,2026-05-10T18:08:24.658097,No suggestions for pin 122003
GGN-Sector 37,28.455115,76.990607,120001,Sector 9B,,,,,,,2026-05-10T18:09:07.287188,No suggestions for pin 120001
