area,delivery_eta,discount_pct,error,in_stock,mrp,pincode,product_name,scanned_at,selling_price,store_lat,store_lng,store_name
Sector 92,,43.2,,False,2699.0,122505,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:23:54.584018,1532.0,28.410694,76.90725,GGN-Sector 95
Sector 87,7 min,43.2,,False,2699.0,122050,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:24:11.463124,1532.0,28.394882,76.933179,GGN-Sector 86
Sector 70A,9 min,43.2,,False,2699.0,122015,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:24:30.763529,1532.0,28.38621,77.02198,GGN-Sector 70 A
Sector 48,,43.2,,False,2699.0,122101,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:26:36.960855,1532.0,28.39477383,77.03515906,GGN-Sector 69 New
Marbella,12 min,43.2,,False,2699.0,122008,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:26:55.106144,1532.0,28.40211,77.059,GGN-Sector66
Badkhal,7 min,43.2,,False,2699.0,121001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:27:13.903869,1532.0,28.396046,77.267029,FBD-Sainik Colony
Sector 72,17 min,43.2,,False,2699.0,122004,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:27:34.165309,1532.0,28.41196,77.02917,GGN-SECTOR 71
Sector 49,6 min,43.2,,False,2699.0,122018,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:27:49.638476,1532.0,28.410107,77.051341,GGN-SECTOR 49
Shivaji Nagar,16 min,43.2,,False,2699.0,122001,Bigmuscles Nutrition Nitric Whey Unflavoured,2026-05-12T11:28:09.815811,1532.0,28.44296713,77.01065435,GGN-Sector 10A
Sector 51,,,No suggestions for pin 101301,,,101301,,2026-05-12T11:28:42.317534,,28.42600423,77.06762183,GGN-SECTOR 51
