name,lat,lng,brand
GGN-Sector 95,28.410694,76.90725,zepto
GGN-Sector 86,28.394882,76.933179,zepto
GGN- Sector 82,28.39908847,76.95452254,zepto
GGN-Sector 70 A,28.38621,77.02198,zepto
GGN-Sector 69 New,28.39477383,77.03515906,zepto
GGN-Vatika City,28.400079,77.044423,zepto
GGN-Sector66,28.40211,77.059,zepto
GGN-Sector 66 Network,28.394653,77.073013,zepto
GGN-Sector 62,28.4051193,77.0920438,zepto
FBD-Sainik Colony,28.396046,77.267029,zepto
FBD- NIT,28.3858894,77.2895509,zepto
FBD-NIT 2,28.4040795,77.2994235,zepto
FBD- Sector-16,28.412155,77.314736,zepto
FBD-Sector 79,28.389159,77.36254,zepto
GGN- Hayatpur,28.421887,76.934209,zepto
GGN-SECTOR 71,28.41196,77.02917,zepto
GGN-SECTOR 49,28.410107,77.051341,zepto
FBD-Sector-86,28.411383,77.347755,zepto
GGN-Sector 10A,28.44296713,77.01065435,zepto
GGN-SECTOR 51,28.42600423,77.06762183,zepto
GGN-Ardee City,28.429491,77.088255,zepto
GGN - SUN CITY,28.425148,77.105662,zepto
GGN-Gwal Pahari,28.42412152,77.14675741,zepto
FBD-Sector-21,28.420583,77.287403,zepto
GGN-Sector 39 NETWORK-4,28.42736676,77.0459533,zepto
FBD-Sector 31,28.439545,77.310188,zepto
GGN-Sector 12 Network-2,28.45482,77.03863,zepto
GGN-SECTOR 38,28.434254,77.047958,zepto
GGN-SECTOR 39 NEW,28.444382,77.05648,zepto
GGN-Sector 52,28.435337,77.078114,zepto
GGN-SECTOR 53,28.44344,77.09568,zepto
GGN-Sector 37,28.455115,76.990607,zepto
GGN-Sector 41 New,28.45574026,77.06236287,zepto
GGN-Sushant Lok,28.45309149,77.08238304,zepto
GGN-Sector 27 new,28.46331087,77.09432046,zepto
FBD-Greenfield,28.461109,77.28316,zepto
GGN-Sector 102,28.4748083,76.9626118,zepto
GGN-Sector 4,28.47327417,77.00347274,zepto
GGN-Sector-12 New,28.469519,77.034067,zepto
GGN-SECTOR 39 NETWORK-3,28.459997,77.057077,zepto
GGN-Sector 12 network,28.4789007,77.0249138,zepto
GGN-Sector 28,28.476348,77.084721,zepto
FBD-Sector 37,28.47478036,77.31043552,zepto
GGN-Sector 104,28.493103,76.998031,zepto
GGN-Sector 14,28.479793,77.04665,zepto
GGN-Udyog Vihar New,28.506127,77.069438,zepto
DEL-Ghitorni,28.494128,77.145755,zepto
FBD-Charmswood,28.48821899,77.29025717,zepto
GGN-Palam Vihar,28.503209,77.031636,zepto
GGN-Sector 24 New,28.49603,77.109233,zepto
DEL-CHATTARPUR,28.495495,77.185081,zepto
DEL-Khanpur,28.500805,77.235137,zepto
DEL-Chattarpur Enclave,28.5017175,77.1858712,zepto
DEL-Neb Sarai,28.506309,77.198648,zepto
GGN-Sector 112,28.512795,77.012309,zepto
GGN-Palam Vihar Network,28.515994,77.038629,zepto
DEL-VASANT KUNJ,28.5251672,77.1545416,zepto
DEL-Vasant Kunj 2,28.514304,77.164948,zepto
DEL-Kalkaji Network,28.52276,77.261513,zepto
DEL-Malviya Nagar Network,28.537299,77.207585,zepto
DEL-MALVIYA NAGAR NEW,28.535521,77.223434,zepto
DEL-Mahipalpur,28.544371,77.128642,zepto
DEL-Sarita Vihar,28.537425,77.296626,zepto
DEL-Dwarka Sector 10 Network-4,28.558292,77.050021,zepto
DEL-Munirka,28.556305,77.173222,zepto
DEL-Kalkaji New,28.5449,77.2623,zepto
DEL-JASOLA VIHAR,28.54523037,77.29151914,zepto
DEL-South Extension Network,28.56269211,77.21138522,zepto
DEL - East of Kailash,28.554289,77.243605,zepto
NOD-Sector 46 Network,28.556297,77.350386,zepto
DEL-RK PURAM,28.567889,77.189055,zepto
DEL-South Extension New,28.573257,77.228054,zepto
DEL-East Of Kailash Network,28.56098539,77.25185553,zepto
DEL-Khizrabad,28.572,77.2759,zepto
Del-Dwarka Sector 19,28.5773584,77.05046,zepto
DEL-Bagdola,28.57344104,77.07253362,zepto
DEL-Krishna Market,28.5756389,77.2426667,zepto
DEL-Jangpura,28.5774712,77.2598391,zepto
NOD-Sector-31,28.57549,77.343254,zepto
DEL-Dwarka Sector 10 New,28.58763684,77.06823238,zepto
NOD-Sector 4,28.58336104,77.31994863,zepto
DEL-Dwarka Sec 17,28.59409345,77.02550957,zepto
DEL-Mahavir Enclave Network,28.598741,77.091854,zepto
DEL-Trilokpuri,28.598169,77.300041,zepto
NOD-Sector-10 New,28.59504615,77.33037886,zepto
DEL-Najafgarh,28.6119975,76.9890681,zepto
DEL-Dwarka Sector 12 Network,28.607881,77.033508,zepto
DEL-Rajapuri,28.603142,77.057077,zepto
DEL-MAHAVIR ENCLAVE,28.606888,77.081238,zepto
DEL-UTTAM NAGAR NETWORK,28.61611894,77.0469049,zepto
DEL-Uttam Nagar New,28.61748993,77.06902674,zepto
DEL-MAYUR VIHAR,28.6088517,77.2936104,zepto
DEL-Kondli,28.6103954,77.32689332,zepto
DEL-JANAKPURI,28.621729,77.082744,zepto
DEL-Mayapuri,28.624069,77.118918,zepto
DEL-IP EXTENSION,28.631945,77.297721,zepto
DEL-Rajapur Khurd,28.634025,77.03862,zepto
DEL-Vikaspuri,28.638731,77.070444,zepto
DEL-Janakpuri Network,28.63086684,77.08216796,zepto
DEL-RAJOURI GARDEN NEW,28.64262202,77.10423887,zepto
DEL-KIRTI NAGAR NETWORK,28.63907433,77.12978363,zepto
DEL-KIRTI NAGAR,28.654999,77.143668,zepto
DEL-Connaught Place,28.641493,77.234596,zepto
DEL-ANAND VIHAR,28.648976,77.302663,zepto
GZB-Gyan Khand,28.643889,77.349417,zepto
DEL-Keshopur,28.648392,77.07913,zepto
DEL-Janta Market,28.6409342,77.12115066,zepto
DEL-East Patel Nagar,28.64389623,77.17236463,zepto
DEL-Karol Bagh Main New,28.65133441,77.19587294,zepto
DEL-Nirman Vihar,28.641917,77.28227,zepto
GZB-VAISHALI,28.646249,77.334833,zepto
DEL-Rajauri Garden Network,28.653296,77.11833,zepto
DEL-KAROL BAGH,28.64946,77.1619,zepto
DEL-Anand Vihar Network,28.6557301,77.2756487,zepto
DEL-Nangloi,28.661143,77.084335,zepto
DEL-Paschim Vihar,28.669035,77.104414,zepto
DEL-Kirti Nagar Network-2,28.6618098,77.1528689,zepto
GZB-Sahibabad New,28.66749031,77.33111451,zepto
DEL-Nangloi Extension,28.678831,77.065048,zepto
DEL-SHAKTI NAGAR,28.684013,77.196556,zepto
DEL-Dilshad Garden New,28.677253,77.308197,zepto
DEL-PITAMPURA NEW,28.690002,77.134438,zepto
DEL-WAZIRPUR,28.7022786,77.1674819,zepto
DEL-Shahdara,28.689378,77.273315,zepto
DEL-Durgapuri,28.689691,77.296863,zepto
GZB-Shyam Park,28.68095815,77.34536166,zepto
DEL-Vijay Vihar Phase 2,28.70743854,77.10099292,zepto
DEL-ROHINI SECTOR 3,28.697833,77.114542,zepto
DEL-Kalyan Vihar,28.687703,77.195064,zepto
GZB-Gagan Vihar,28.701712,77.33354,zepto
DEL-Rohini Sector 21,28.71142,77.06297,zepto
DEL-Pitampura network,28.716004,77.134997,zepto
DEL-Model Town Network,28.704421,77.195459,zepto
DEL-Rohini Sector 23,28.72253985,77.08796347,zepto
DEL-ROHINI Sector 15,28.731067,77.133079,zepto
DEL-Wazirpur Network,28.720401,77.167386,zepto
DEL-ROHINI Sector 15 Network,28.743214,77.123118,zepto
DEL-Santnagar,28.747121,77.197725,zepto
DEL-Sanoth Village,28.81696288,77.0685038,zepto
DEL-Narela,28.8531944,77.1017222,zepto
NOD-Sector 58,28.606783,77.358765,zepto
NOD-Sector 73 Network,28.583612,77.371656,zepto
NOD-SECTOR 73 NOIDA,28.591555,77.381076,zepto
NOD-Bahlopur,28.611323,77.397793,zepto
NOD-NOIDA EXTENSION NETWORK,28.601754,77.44594,zepto
NOD_SECTOR 63 NOIDA,28.618837,77.378237,zepto
GZB-GAUR CITY,28.619894,77.417216,zepto
NOD-Noida Extension,28.61133048,77.4464719,zepto
GZB-Gaur City Network,28.62422556,77.42507971,zepto
GZB-Crossing Republic,28.626005,77.43981,zepto
GZB- Nyay Khand,28.638189,77.359465,zepto
GZB-Indirapuram Network-3,28.64172,77.371997,zepto
GZB-Pratap Vihar,28.655726,77.4010239,zepto
GZB-New Gandhi Nagar,28.656541,77.43613,zepto
GZB-INDIRAPURAM Network 2,28.65466393,77.3618118,zepto
GZB-Indirapuram Network-4,28.658135,77.377902,zepto
GZB-Shastri nagar,28.662885,77.462688,zepto
GZB-RAJ NAGAR,28.672102,77.439757,zepto
GZB- Harson,28.677582,77.475938,zepto
GZB-Sector 2,28.6813333,77.3598611,zepto
GZB-Loni Road,28.680484,77.379311,zepto
GZB-Sanjay Nagar,28.694916,77.454758,zepto
GZB-Sehani Khurd,28.699104,77.422867,zepto
GZB-MADHUBAN BAPUDHAM,28.698249,77.486097,zepto
GZB-Raj Nagar Extension Network,28.706309,77.417538,zepto
GZB-Jalalabad,28.7170927,77.455915,zepto
FBD-Ballabgarh,28.347248,77.336472,zepto
FBD-Sector 10 New,28.375138,77.327767,zepto
